ocid,release_id,date,buyer_name,buyer_id,tender_id,tender_title,mainProcurementCategory,tender_minValue,tender_datePublished,tender_status,award_id,award_title,award_date,award_value,award_supplier
ocds-20h3g7-38019127,ocds-20h3g7-38019127-1,2019-05-20T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38019127,Belanja Bantuan Sosial Barang Yang Akan Diserahkan Kepada Masyarakat,goods,680251000.0,2019-04-29T00:00:00.000000Z,complete,38019127-1,Belanja Bantuan Sosial Barang Yang Akan Diserahkan Kepada Masyarakat,2019-05-20T00:00:00.000000Z,498668500.0,CV. JASINDO PRATAMA
ocds-20h3g7-38021127,ocds-20h3g7-38021127-1,2019-05-10T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38021127,Jasa Konsultansi Perencanaan Rehab Total Kantor Camat Koja,services,241065000.0,2019-03-29T00:00:00.000000Z,complete,38021127-1,Jasa Konsultansi Perencanaan Rehab Total Kantor Camat Koja,2019-05-10T00:00:00.000000Z,207020000.0,PT. BUMI MADANI
ocds-20h3g7-38023127,ocds-20h3g7-38023127-1,2019-06-13T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38023127,Jasa Konsultansi Perencanaan Rehab Total Kantor Lurah Rawa Badak Utara,services,241065000.0,2019-04-01T00:00:00.000000Z,complete,38023127-1,Jasa Konsultansi Perencanaan Rehab Total Kantor Lurah Rawa Badak Utara,2019-06-13T00:00:00.000000Z,221595000.0,PT. ISA KREASI MANDIRI SEJATI
ocds-20h3g7-38024127,ocds-20h3g7-38024127-1,2019-05-15T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38024127,"Pelaksanaan RTH Makam di TPU Pondok Kelapa, Jakarta Timur",works,2916407941.69,2019-04-08T00:00:00.000000Z,complete,38024127-1,"Pelaksanaan RTH Makam di TPU Pondok Kelapa, Jakarta Timur",2019-05-15T00:00:00.000000Z,2333579165.53,PT DINAR KONTRUKSI UTAMA
ocds-20h3g7-38031127,ocds-20h3g7-38031127-1,2019-06-11T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38031127,Pengadaan Tenaga Ahli untuk Kegiatan Sosialisasi Pelaksanaan Proyek Pembangunan Sistem Pengolahan Air Limbah Terpusat Jakarta Sewerage System (JSS),services,1252900000.0,2019-03-28T00:00:00.000000Z,complete,38031127-1,Pengadaan Tenaga Ahli untuk Kegiatan Sosialisasi Pelaksanaan Proyek Pembangunan Sistem Pengolahan Air Limbah Terpusat Jakarta Sewerage System (JSS),2019-06-11T00:00:00.000000Z,1053360000.0,PT AMYTHAS
ocds-20h3g7-38032127,ocds-20h3g7-38032127-1,2019-04-24T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38032127,"Belanja Makanan dan Minuman Petugas Pengawasan , Pengendalian dan Penertiban di Kawasan Kota Tua Kota Adm. Jakarta Barat",services,1710800000.0,2019-04-02T00:00:00.000000Z,complete,38032127-1,"Belanja Makanan dan Minuman Petugas Pengawasan , Pengendalian dan Penertiban di Kawasan Kota Tua Kota Adm. Jakarta Barat",2019-04-24T00:00:00.000000Z,1244880000.0,CV. Susy Mandiri
ocds-20h3g7-38033127,ocds-20h3g7-38033127-1,2019-04-26T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38033127,"Pelaksanaan Pembangunan RTH Jl. Tipar, Jakarta Timur",works,4168779930.76,2019-03-29T00:00:00.000000Z,complete,38033127-1,"Pelaksanaan Pembangunan RTH Jl. Tipar, Jakarta Timur",2019-04-26T00:00:00.000000Z,3933000000.0,PT. ERASINDO PELITA ABADI
ocds-20h3g7-38034127,ocds-20h3g7-38034127-2,2019-03-29T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38034127,Penyediaan Mesin Fotocopy Kegiatan Pendampingan Kewirausahaan,services,206217000.0,2019-03-26T00:00:00.000000Z,complete,38034127-1,Penyediaan Mesin Fotocopy Kegiatan Pendampingan Kewirausahaan,2019-03-29T00:00:00.000000Z,195525000.0,PT. AVANT SOLUSI SERVISPRO
ocds-20h3g7-38036127,ocds-20h3g7-38036127-1,2019-04-24T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38036127,Belanja Makanan dan Minuman Petugas piket monitoring 1 x 24 jam Satpol PP Kota Adm. Jakarta Barat,services,1466400000.0,2019-04-02T00:00:00.000000Z,complete,38036127-1,Belanja Makanan dan Minuman Petugas piket monitoring 1 x 24 jam Satpol PP Kota Adm. Jakarta Barat,2019-04-24T00:00:00.000000Z,1067040000.0,CV. Susy Mandiri
ocds-20h3g7-38043127,ocds-20h3g7-38043127-2,2019-04-16T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38043127,Penyediaan Mobil Pompa 4.000 Liter,goods,50849999996.4,2019-03-26T00:00:00.000000Z,complete,38043127-1,Penyediaan Mobil Pompa 4.000 Liter,2019-04-16T00:00:00.000000Z,50798682000.0,PT ASTANITA SUKSES APINDO
ocds-20h3g7-38046127,ocds-20h3g7-38046127-2,2019-04-16T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38046127,Penyediaan Mobil Pompa 10.000 Liter,goods,15684999995.5,2019-03-26T00:00:00.000000Z,complete,38046127-1,Penyediaan Mobil Pompa 10.000 Liter,2019-04-16T00:00:00.000000Z,15653000000.0,PT ASTANITA SUKSES APINDO
ocds-20h3g7-38048127,ocds-20h3g7-38048127-1,2019-04-05T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38048127,Belanja Makanan dan Minuman Peserta/Petugas/Panitia Pembinaan Kewirausahaan,services,1896000000.0,2019-04-01T00:00:00.000000Z,complete,38048127-1,Belanja Makanan dan Minuman Peserta/Petugas/Panitia Pembinaan Kewirausahaan,2019-04-05T00:00:00.000000Z,1636800000.0,CV. BINA CIPTA SARANA
ocds-20h3g7-38049127,ocds-20h3g7-38049127-1,2019-04-26T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38049127,Penyediaan Mobil Heavy Foam,goods,17325000000.0,2019-04-05T00:00:00.000000Z,complete,38049127-1,Penyediaan Mobil Heavy Foam,2019-04-26T00:00:00.000000Z,16665000000.0,PT. MARANI RIPAH GLOBALINDO
ocds-20h3g7-38050127,ocds-20h3g7-38050127-1,2019-04-30T00:00:00.000000Z,Pemerintah Daerah Provinsi DKI Jakarta,D69,38050127,Penyediaan Unit Ambulance dan Kelengkapannya,goods,986700000.0,2019-04-05T00:00:00.000000Z,complete,38050127-1,Penyediaan Unit Ambulance dan Kelengkapannya,2019-04-30T00:00:00.000000Z,977900000.0,PT Hyundai Mobil Indonesia
