date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio
2015-07-09,Pemerintah Daerah Provinsi Dki Jakarta,Belanja Ban Kendaraan Dinas Operasional,Goods,3599889700.0,Complete,Belanja Ban Kendaraan Dinas Operasional,2015-07-09,2177821800.0,Pt. Oto Sentosa Sentra Makmur,10,0.6049690355790623
2015-08-05,Pemerintah Daerah Provinsi Dki Jakarta,Belanja Jasa Konsultansi Penilaian / Appraisal,Services,812638200.0,Complete,Belanja Jasa Konsultansi Penilaian / Appraisal,2015-08-05,723030000.0,Kjpp  Wahyono Adi Dan Rekan,35,0.8897317403981255
2015-06-12,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Menteng (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Menteng (Jasa Konsultansi Pengawasan),2015-06-12,119988000.0,Pt. Nabela Karya Abadi,11,0.8383514266500144
2015-08-07,Pemerintah Daerah Provinsi Dki Jakarta,Kajian Dan Perencanaan Simpang Tak Sebidang (X-1),Services,710648000.0,Complete,Kajian Dan Perencanaan Simpang Tak Sebidang (X-1),2015-08-07,688985000.0,Pt. Bina Karya (Persero),63,0.9695165539057311
2015-06-12,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Sawah Besar (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Sawah Besar (Jasa Konsultansi Pengawasan),2015-06-12,115192000.0,Pt. Mikro Cordaniel,11,0.8048419636852724
2015-06-12,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Senen (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Senen (Jasa Konsultansi Pengawasan),2015-06-12,121671000.0,Pt. Gihon Wahana Cipta,11,0.8501104813142473
2015-06-12,Unknown Buyer,Pemeliharaan Jalan Wilayah Kecamatan Tanah Abang (Jasa Konsultansi Pengawasan),Services,143123750.0,Complete,Pemeliharaan Jalan Wilayah Kecamatan Tanah Abang (Jasa Konsultansi Pengawasan),2015-06-12,112189000.0,Danureksa Sarana Cipta,11,0.7838601210490921
2015-06-12,Unknown Buyer,Pemeliharaan Berkala Berat Jalan Di Kecamatan Pasar Minggu (Jasa Konsultansi Pengawasan),Services,196713000.0,Complete,Pemeliharaan Berkala Berat Jalan Di Kecamatan Pasar Minggu (Jasa Konsultansi Pengawasan),2015-06-12,174570000.0,Daffa Brothers Cons,11,0.8874349941285019
2015-06-16,Unknown Buyer,Belanja/Uang Makanan Dan Minuman Peserta/Petugas/Panitia,Services,2116430067.0,Complete,Belanja/Uang Makanan Dan Minuman Peserta/Petugas/Panitia,2015-06-16,1688355460.0,Cv. Century Utama Lestari,13,0.797737419405127
2015-06-23,Unknown Buyer,Belanja Bahan Obat-Obatan Non E-Katalog,Goods,900489096.0,Complete,Belanja Bahan Obat-Obatan Non E-Katalog,2015-06-23,653794900.0,Pt. Zalfa Mandiri,19,0.7260442163088668
2015-06-22,Unknown Buyer,Pembangunan Pagar Pengaman Lalu Lintas Di Wilayah Jakarta Utara,Works,473671000.0,Complete,Pembangunan Pagar Pengaman Lalu Lintas Di Wilayah Jakarta Utara,2015-06-22,321098000.0,Cv.Pelita Bintang Timur,17,0.6778924612230852
2015-06-22,Unknown Buyer,Pemeliharaan Halte Bus Di Wilayah Jakarta Utara,Works,284603000.0,Complete,Pemeliharaan Halte Bus Di Wilayah Jakarta Utara,2015-06-22,221478000.0,Cv. Maduma Steel Stone,17,0.7781998081538143
