Unnamed: 0,Akun,Anggaran/Pagu,Realisasi,%,Year
,Belanja Bantuan Sosial,"7.916,39 M","8.324,26 M",105.15,2013
,,,,,2013
,Belanja Bagi Hasil,"21.714,20 M","27.065,87 M",124.65,2013
,,,,,2013
,Belanja Bantuan Keuangan,"34.355,57 M","31.560,21 M",91.86,2013
,,,,,2013
,Belanja Tidak Terduga,"2.822,03 M","1.000,34 M",35.45,2013
,,,,,2013
,Pembiayaan,"78.823,36 M","112.053,54 M",142.16,2013
,,,,,2013
,Penerimaan Pembiayaan,"66.818,85 M","100.237,29 M",150.01,2013
,,,,,2013
,SiLPA TA Sebelumnya,"61.373,25 M","96.688,85 M",157.54,2013
,,,,,2013
,Pencairan Dana Cadangan,"1.659,43 M","1.916,93 M",115.52,2013
,,,,,2013
,Penjualan Kekayaan Daerah yang Dipisahkan,"147,34 M","107,54 M",72.99,2013
,,,,,2013
,Penerimaan Pinjaman Daerah,"2.863,79 M","847,58 M",29.6,2013
,,,,,2013
,Penerimaan Kembali Pemberian Pinjaman,"775,04 M","676,39 M",87.27,2013
,,,,,2013
,Pengeluaran Pembiayaan,"-12.004,51 M","-11.816,25 M",98.43,2013
,,,,,2013
,Pembentukan Dana Cadangan,"-1.065,00 M","-1.308,53 M",122.87,2013
,,,,,2013
,Penyertaan Modal,"-8.001,55 M","-7.859,19 M",98.22,2013
,,,,,2013
,Pembayaran Pokok Utang,"-1.971,37 M","-2.206,95 M",111.95,2013
,,,,,2013
,Pemberian Pinjaman Daerah,"-258,98 M","-298,26 M",115.17,2013
,,,,,2013
,Pembayaran Kegiatan Lanjutan,"-164,42 M","0,00 M",0.0,2013
,,,,,2013
,Pengeluaran Perhitungan Pihak Ketiga,"-543,20 M","-143,31 M",26.38,2013
,,,,,2013
,Pendapatan,"797.865,87 M","835.191,46 M",104.68,2014
,,,,,2014
,PAD,"180.675,15 M","200.544,41 M",111.0,2014
,,,,,2014
,Pajak Daerah,"133.112,46 M","138.769,00 M",104.25,2014
,,,,,2014
,Retribusi Daerah,"13.291,49 M","12.153,07 M",91.44,2014
,,,,,2014
,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"6.379,74 M","6.126,87 M",96.04,2014
,,,,,2014
,Lain-Lain PAD yang Sah,"27.891,47 M","43.495,46 M",155.95,2014
,,,,,2014
,Dana Perimbangan,"482.186,33 M","476.422,53 M",98.8,2014
,,,,,2014
,DBH,"108.039,83 M","104.534,40 M",96.76,2014
,,,,,2014
,DAU,"341.245,04 M","339.872,21 M",99.6,2014
,,,,,2014
,DAK,"32.901,46 M","32.015,92 M",97.31,2014
,,,,,2014
,Pendapatan Lainnya,"135.004,38 M","158.224,52 M",117.2,2014
,,,,,2014
,Hibah,"7.393,05 M","7.081,12 M",95.78,2014
,,,,,2014
,Dana Darurat,"5,39 M","624,15 M",11569.91,2014
,,,,,2014
,Bagi Hasil Provinsi atau Pemda Lain,"25.404,37 M","34.730,19 M",136.71,2014
,,,,,2014
,Dana Penyesuaian dan Otsus,"88.168,11 M","98.879,58 M",112.15,2014
,,,,,2014
,Bantuan Keuangan,"12.382,23 M","2.383,50 M",19.25,2014
,,,,,2014
,Pendapatan Lainnya,"1.651,21 M","14.525,99 M",879.72,2014
,,,,,2014
,Belanja,"856.241,72 M","798.908,61 M",93.3,2014
,,,,,2014
,Belanja Tidak Langsung,"422.369,66 M","447.307,43 M",105.9,2014
,,,,,2014
,Belanja Pegawai Tidak Langsung,"290.684,92 M","307.390,06 M",105.75,2014
,,,,,2014
,Belanja Langsung,"433.872,05 M","351.601,17 M",81.04,2014
,,,,,2014
,Belanja Bunga,"264,05 M","439,66 M",166.51,2014
,,,,,2014
,Belanja Pegawai Langsung,"36.185,72 M","5.302,17 M",14.65,2014
,,,,,2014
,Belanja Barang Jasa,"183.471,83 M","165.382,14 M",90.14,2014
,,,,,2014
,Belanja Modal,"214.214,50 M","180.916,86 M",84.46,2014
,,,,,2014
,Belanja Subsidi,"603,02 M","628,50 M",104.23,2014
,,,,,2014
,Belanja Hibah,"47.014,83 M","53.632,26 M",114.08,2014
,,,,,2014
,Belanja Bantuan Sosial,"7.577,23 M","7.312,30 M",96.5,2014
,,,,,2014
,Belanja Bagi Hasil,"30.203,59 M","40.038,92 M",132.56,2014
,,,,,2014
,Belanja Bantuan Keuangan,"43.140,37 M","37.155,24 M",86.13,2014
,,,,,2014
,Belanja Tidak Terduga,"2.881,66 M","710,49 M",24.66,2014
,,,,,2014
,Pembiayaan,"90.938,85 M","115.551,05 M",127.06,2014
,,,,,2014
,Penerimaan Pembiayaan,"75.310,53 M","102.471,84 M",136.07,2014
,,,,,2014
,SiLPA TA Sebelumnya,"70.708,07 M","100.323,81 M",141.88,2014
,,,,,2014
,Pencairan Dana Cadangan,"1.090,68 M","504,98 M",46.3,2014
,,,,,2014
,Penjualan Kekayaan Daerah yang Dipisahkan,"65,62 M","70,34 M",107.19,2014
,,,,,2014
,Penerimaan Pinjaman Daerah,"2.318,29 M","876,34 M",37.8,2014
,,,,,2014
,Penerimaan Kembali Pemberian Pinjaman,"1.127,87 M","690,22 M",61.2,2014
,,,,,2014
